,ProjectID,ProjectTitle,ProjectDescription,TotalCost,CountyNames,CT_Codes,ProjectStatusCodes,City,CityCode,County,CountyCode,Lon_Centroid,Lat_Centroid
10,'0419000096,Seismic Retrofit in Orinda,"Seismic Retrofit in Orinda, part of the National Highway Performance Program (NHPP). (Federal Project ID: 5444018).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
11,'0422000035,Road Restoration & Rehabilitation in Danville,"Road Restoration & Rehabilitation in Danville, part of the Surface Transportation Block Grant. (Federal Project ID: 5434026).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
12,'0414000270,Bridge Replacement in Moraga,"Bridge Replacement in Moraga, part of the National Highway Performance Program (NHPP). (Federal Project ID: 5415011).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
13,'0419000487,Install Pedestrian Safety Improvements in San Pablo,"Install Pedestrian Safety Improvements in San Pablo, part of the Highway Safety Improvement Program (HSIP). (Federal Project ID: 5303020).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
14,'0421000170,Pavement Rehabilitation in Brentwood,"Pavement Rehabilitation in Brentwood, part of the Surface Transportation Block Grant. (Federal Project ID: 5300013).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
15,'0416000312,Replace Bridge in Walnut Creek,"Replace Bridge in Walnut Creek, part of the National Highway Performance Program (NHPP). (Federal Project ID: 5225026).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
16,'0423000298,Pedestrian Safety Improvements in Richmond,"Pedestrian Safety Improvements in Richmond, part of the Projects to Reduce PM 2.5 Emissions. (Federal Project ID: 5137055).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
17,'0419000407,Upgrade Signals in Concord,"Upgrade Signals in Concord, part of the Highway Safety Improvement Program (HSIP). (Federal Project ID: 5135056).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
18,'0420000346,Pavement Rehabilitation in Hercules,"Pavement Rehabilitation in Hercules, part of the Surface Transportation Block Grant. (Federal Project ID: 5117016).",,Contra Costa,|04|,,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
19,'ATP1-04-047M,Riverside Avenue Pedestrian Crossing (ATP Cycle 1),Construct a new Riverside Avenue POC north of the existing POC that will extend across Amador Street to improve pedestrian safety. The existing POC will be removed.,4885000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
20,'04-2010C1,Concord BART Station Modernization,"In the city of Concord. Construct various station improvements which include escalators, elevators, pedestrian and bicycle access improvements, lighting, and platform edge tiles.",21396000.0,Contra Costa,|04|,|Planned|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
21,'ATP6-04-003S,Pacifica Avenue Safe Routes to School Project (ATP Cycle 6),"Reconfigure roadway with a two-way cycle track, new sidewalk, widened sidewalk, narrower travel lanes, bulb-outs, and new raised crosswalks on Pacifica Avenue.",4342000.0,Contra Costa,|04|,|Planned|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
22,'ATP5-04-030S,North Bailey Road Active Transportation Corridor (ATP Cycle 5),"Construct two-way cycle track, ADA-compliant curb ramps, ADA-accessible sidewalks, traffic signal, and reconfigure travel lanes on Bailey Road between Willow Pass and Canal Roads.",6845000.0,Contra Costa,|04|,|Planned|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
23,'ATP3-04-056M,Fred Jackson Way First Mile and Last Mile Connection Project  (ATP Cycle 3),Construct sidewalks with street trees for 0.3 miles from Grove Ave to Wildcat Creek Trail and extend 0.3 miles to Brookside Dr. to construct sidewalk and Class II bike lanes.,4298000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
24,'ATP2-04-131M,Rumrill Boulevard Complete Streets Improvements (ATP Cycle 2),"Providing directional cycle tracks, sidewalk and crossing improvements, street trees, landscaping, lighting and transit shelters.",5610000.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
25,'ATP2-04-035S,Bailey Road and State Route 4 Interchange Pedestrian and Bicycle Improvement Project (ATP Cycle 2),Improve bicycle and pedestrian modifying the freeway on off ramps to provide continuous sidewalks and bike lanes along Bailey Road.,5195000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
26,'ATP2-04-034S,Rio Vista Elementary School Pedestrian Connection Project (ATP Cycle 2),"Install 525 feet of sidewalk, curb, gutter, and bike lane on the north side of Pacifica Avenue. This will include pavement repair and widening of the road embankment.",905000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
27,'ATP1-04-063M,Port Chicago Highway and Willow Pass Road Bike and Pedestrian Project (ATP Cycle 1),Construct pedestrian and bicycle friendly facilities as active modes option which will provide public benefits related to health and environmental sustainability for the residents of Bay point.  Will extend 25 miles from Concord to Oakley providing a major commute route with access to transit and trails in a disadvantaged community.,1613000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
28,'06626R4052,Kirker Pass Road  - Northbound Truck Climbing Lane,In the city of Concord on Kirker Pass Road from Clearbrook Drive  to Northern Hess Road intersection.Construct a  northbound truck climbing lane.,18317000.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
29,'ATP2-04-038S,The Yellow Brick Road in Richmond's Iron Triangle Neighborhood (ATP Cycle 2),"Yellow Brick Road Iron Triangle Walkable Neighborhood Plan, by creating,  improving pedestrian and cyclist connections.",6452000.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
30,'ATP5-04-119M,Central Avenue I-80 Undercrossing Ped/Bike Improvements (ATP Cycle 5),"Improve pedestrian/bicycle access at Central Ave I-80 undercrossing with wider sidewalks, new sidewalk-level bikeways, crossing improvements, pedestrian lighting, and fencing.",4333000.0,Contra Costa,|04|,|Planned|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
31,'ATP6-04-004S,San Pablo Avenue Complete Streets/Bay Trail Gap Closure Project (ATP Cycle 6),The San Pablo Avenue Complete Street/Bay Trail Gap Closure Project will implement a road diet and construct a Class I shared use path along the San Francisco Bay Trail.,11717000.0,Contra Costa,|04|,|Planned|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
32,'ATP3A-04-025M,Downtown Corridors Plan Bicycle and Pedestrian Improvement Project  (ATP Cycle 3A),"Installs buffered bicycle lanes on Oak and Salvio Streets, a contraflow bicycle lane on Grant Street, widens sidewalk, constructs curb extensions, improves curb corners and ramps, adds high-visibility crosswalks, and installs pedestrian-oriented lighting to fill gaps.",4349000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
33,'LSR-0422-3800,2022 Clayton Neighborhood Streets Pavement Preservation Project,This project will include: Pavement Rehab/Repair (Existing),833497.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
34,'ATP1-04-066M,Contra Costa Boulevard Improvement Project (Beth Drive to Harriet Drive) (ATP Cycle 1),"Install new concrete sidewalk along the west side of Contra Costa Boulevard, between Ellinwood Drive and Beth Drive, and repairs existing sidewalk within the project limit as needed. Also modify intersection geometry to accommodate new bike lane.",3153000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
35,'ATP6-04-009M,Broadway-El Portal Safe Routes (BESR) Project,"PA&ED, PS&E and CON for a bicycle facility, curb extensions/ramps, bus boarding islands, crosswalks, signage and striping. NI Safe Routes to School programming.",9143000.0,Contra Costa,|04|,|Planned|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
36,'ATP5-04-077S,Richmond Bay Trail Bicyclist and Pedestrian Safe Connections Quick-Build  (ATP Cycle 5),"Install 1 mi of Class IV on Hoffman Blvd. from Harbor Way to Cutting Blvd. and Cutting Blvd. from Hoffman Blvd. to Garrard Blvd, two at-grade railroad crossings and 0.35-mi of Class I on Cutting Blvd.",790000.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
37,'0000202305,Richmond MOVES Microtransit,"The Project expands existing microtransit services to provide service with the entire city boundaries of the City of Richmond with zero‐emission vehicles. In total, the applicant's microtransit fleet will expand from 3 to a total of 8 zero‐emission vehicles to operate the service city‐wide.",6235000.0,Contra Costa,|04|,|Planned|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
38,'LSR-0422-4940,2020/21 Traffic Signal Modification Project,This project will include: Traffic Signal Upgrades Citywide and Procurement of Traffic Signal Material,74338.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
39,'LSR-0422-4934,Traffic Signal Improvement Projects,This project will include: Document Preparation,900000.0,Contra Costa,|04|,|Planned|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
40,'LSR-0422-4614,Alhambra Avenue Downtown,"This project will include: Pavement Rehab/Repair (Existing),ADA Curb Ramp Rehab/Repair (Existing),ADA Curb Ramp Installation (New) | Project is still under design.",1400000.0,Contra Costa,|04|,|Planned|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
41,'0422000066,Safety - HM4,Maintain/Repair Transportaiton Management Systems,1020000.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
42,'0421000163,Safety - HM4,Maintain/Repair Traffic Signs,1990000.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
43,'0421000108,Pavement - HM1,Maintain/Repair Pavement,850000.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
44,'2018-6226-001,Local Match for Purchase of Replacement Vehicles,"Local Match for Purchase of up to 15 Replacement Vehicles. Diesel 35ft , Diesel 40ft vehicles and cutaways.",688170.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
45,'2018-6156-001,Intelligent Transportation System Security Maintenance,"Provide ongoing maintenance to a capital system that is directly related to security, including our radio, onboard computer, CAD/AVL, and BusTime systems.",1236002.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
46,'0421000084,Innovate 680 - Automated Driving System,On arterials along I-680 San Ramon demonstrating Advanced Driving Systems (ADS) to accommodate both connected autonomous vehicles technology and implementation of innovative operational strategies.  The ADS Program includes three demonstration projects: 1) Shared autonomous transportation for a Walnut Creek senior community (Rossmoor): 2) Autonomous vehicle shuttle service with a self-docking wheelchair apparatus for patients at the County Hospital in Martinez; and 3) Collection of data on Interstate 680 between Crow Canyon Road and Alcosta Blvd using equipment (such as 5G communications & cameras) installed on movable temporary trailers placed on overcrossings over I-680 and/or the shoulders.  The effort will evaluate flow of data between vehicles and Infrastructure and help prepare the I-680 corridor and other arterials for future connected autonomous vehicles.,29733000.0,Contra Costa,|04|,|Planned|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
47,'0422000190,BART -  Switch Machine Cabling Project - Services,"In Contra Costa, Alameda and San Francisco counties. Procurement of Services needed to support construction crews on Switch Machine Cabling project  during installation and for material transport. The project will be implemented through the Transbay Corridor (segment) connecting Oakland and San Francisco and is in Contra Costa, Alameda and San Francisco counties. The scope element is an integral part of the overall benefits from implementing the TCMP through the Transbay Corridor.",2724000.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
48,'0422000189,BART-  Switch Machine Cabling Project - Procurement of Material,"In Contra Costa, Alameda and San Francisco counties. Procurement of all materials needed to support construction crews on Switch Machine Cabling project  during installation and for material transport. The project will be implemented through the Transbay Corridor (segment) connecting Oakland and San Francisco and is in Contra Costa, Alameda and San Francisco counties. The scope element is an integral part of the overall benefits from implementing the TCMP through the Transbay Corridor.",12500000.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
49,'0422000165,BART - Switch Machine Cabling Project - Procurement of Non-Revenue Equipment,"In Contra Costa, Alameda and San Francisco counties. Procurement of on-rail equipment (5 Hi-Railers, 1 Vac truck, 2 Boom Lifts and 2 Scissor Lifts) needed to support construction crews on Switch Machine Cabling project  during installation and for material transport. The project will be implemented through the Transbay Corridor (segment) connecting Oakland and San Francisco and is in Contra Costa, Alameda and San Francisco counties. The scope element is an integral part of the overall benefits from implementing the TCMP through the Transbay Corridor.The Switch Machine Cabling will include upgrading raceway, power and communication cables at 21 train control rooms and 26 wayside interlocks and associated switches, including the power cable from the Station House Power to the Train Control Rooms in 22 locations.",3350000.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
50,'04-2010E,BART- Switch Machine Cabling Project - BART Labor,"In Contra Costa, Alameda and San Francisco counties. BART labor needed to support Switch Machine Cabling project during installation and for material transport. This Includes replacement of Switch Power Supply Cabinets; Entrance Cabinets; Switchboards, Panelboards and Circuit Breakers; Raceways; and Cables along the wayside and in Train Control Rooms. The project will be implemented through the Transbay Corridor (segment) connecting Oakland and San Francisco and is in Contra Costa, Alameda and San Francisco counties. The scope element is an integral part of the overall benefits from implementing the TCMP through the Transbay Corridor.The Switch Machine Cabling will include upgrading raceway, power and communication cables at 21 train control rooms and 26 wayside interlocks and associated switches, including the power cable from the Station House Power to the Train Control Rooms in 22 locations.",41800000.0,Contra Costa,|04|,|InProgress|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
51,'LSR-0422-5611,Structure Maintenance,"This project will include: Public Works Staffing,Procurement of Road Maintenance and Rehab Materials | Work includes routine maintenance activities to perform all work associated with bridge repair, repair/replace curbs and sidewalks, repair/replace culverts, repair/replace retaining walls, repair drainage structures, repair minor landslides and repair/replace fencing.",633317.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
52,'LSR-0422-5610,Road Shoulder Maintenance,"This project will include: Public Works Staffing,Procurement of Road Maintenance and Rehab Materials | Work includes routine maintenance activities to perform all work associated with spot shoulder repair, major shoulder repair, reshaping shoulder, embankment grading, erosion control, cut bench maintenance, and slide material removal.",738177.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
53,'LSR-0422-5609,Countywide Surface Treatments,"This project will include: Public Works Staffing,Procurement of Road Maintenance and Rehab Materials | This project will apply a surface treatment to various roads in the unincorporated area of Contra Costa County.  Work will also include preparation and pavement striping and marking",3840178.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
54,'LSR-0422-5608,Countywide Chip Seal Projects,"This project will include: Procurement of Road Maintenance and Rehab Materials,Public Works Staffing | Single Chip Seal Project (2021) - (RMRA = $500,000) - apply a single chip seal to various roads as a pavement preservation project. Work will also include surface preparation and pavement striping and markings. Double Chip Seal Project (2021) - (RMRA = $2,000,000) - apply a double chip seal to various roads as a pavement preservation project. Work will also include surface preparation and pavement striping and markings.",1679175.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
55,'LSR-0422-5607,Countywide Surface Treatment Project (2021),"This project will include: Paving and/or Striping Rehab/Repair (Existing Safety),Pavement Rehab/Repair (Existing) | This project will apply an asphalt rubber chip seal covered with a type II slurry seal to various roads as a pavement preservation project in the unincorporated Contra Costa County.  Work will also include preparation and pavement striping and markings",4443537.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
56,'LSR-0422-5606,Pavement Repairs and Preparation,"This project will include: Public Works Staffing,Procurement of Road Maintenance and Rehab Materials | Pot Hole Patching Pavement Fabric PatchingPavement Failure Repair - BackhoePull Box Paving Hand Patching Crack Sealing Leveling Grinder Follow-up PavingPavement Failure Repair",2428796.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
57,'LSR-0422-5605,Traffic Safety Devices Maintenance,"This project will include: Procurement of Road Maintenance and Rehab Materials,Public Works Staffing | Traffic Signing  - sign repair, replacement, and installation along the roadwayTraffic Striping  - perform new painting, routine painting and replacement of pavement striping along the roadway to enhance public safetyPaint Pavement Marking  - perform all work associated with new painting, routine painting, and replacement of existing pavement markings along the roadwayInspect & Maintain Guardrails - | Thermoplastic Pavement Markings  - perform all work associated with the new application, routine maintenance, and replacement of existing thermoplastic pavement markingsSafety Lighting - perform the repair, installation, and replacement of County-maintained safety lightingSignals and Flashers  - perform the repair, installation, and replacement of County-maintained safety lighting",2257097.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
58,'LSR-0422-5604,Road Drainage Maintenance,"This project will include: Public Works Staffing,Procurement of Road Maintenance and Rehab Materials | Ditch Cleaning  - remove debris and vegetation which may obstruct the passage of stormwater and cause local floodingFlush Culvert  - cleaning of culverts by flushing with water and removing debris to ensure proper drainage and reduce floodingClean Catch Basin   - cleaning of sediment and prevent obstructions of catch basins (drainage inlets) and related pipe systems | Inspect Catch Basin  - perform inspections of catch basins and associated systems.  This includes a visual inspection of the drainage inlet and any clean water inserts.  Follow-up video inspections may be required for deeper inlets and/or suspected structural issue concerning the inlets",773766.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
59,'LSR-0421-2787,Traffic Safety Devices Maintenance,"This project will include: Traffic Signing - This routine maintenance item is to perform sign repair, replacement, and installation along theunincorporated County roadways. (RMRA = $450k) Traffic Striping - This routine maintenance item is to perform new painting, routine painting and replacement of pavementstriping along the unincorporated County roadways to enhance public safety. (RMRA = $500k)",2321356.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
60,'LSR-0421-2786,Maintenace- Structures,"This project will include: Public Works Staffing,Procurement of Road Maintenance and Rehab Materials | This work includes maintenance of existing bridges, curbs and sidewalks, culverts, retaining walls, drainage sturctures and right of way fencing",518154.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
61,'LSR-0421-2785,Maintenance - Countywide Surface Treatments,"This project will include: Public Works Staffing,Procurement of Road Maintenance and Rehab Materials | This work includes a surface treatment applied to various roadways with applications varying fro single and double chip, mirco surface, to asphalt rubber cape seal.",4477238.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
62,'LSR-0421-2784,Maintenance - Road Shoulder,"This project will include: Procurement of Road Maintenance and Rehab Materials,Public Works Staffing | This work includes spot shoulder repair, major shoulder repair, embankment grading, slide material removal and erosion control",643089.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
63,'LSR-0421-2783,Maintenance - General Housekeeping,"This project will include: Public Works Staffing | This work inlcudes general, routine maintenance activites such as street sweeping, tree trimming, debris pickup, rodent control, median landscaping maintenance and tree removal.",3523990.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
64,'LSR-0421-2782,Pavement Repairs and Preparation,This project will include:  Pot Hole Patching  Pavement Fabric Patching  Pavement Failure Repair - Backhoe Pull Box Paving  Hand Patching  Crack Sealing  Leveling  Pavement Failure Repair - Grinder,4500000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
65,'LSR-0421-2781,Road Drainage Maintenance,This project will include: Work performed includes:Ditch Cleaning - Perform drainage ditch cleaning to remove debris and vegetation which may obstruct the passage of stormwater and cause local flooding. | Clean Catch Basin - Perform cleaning of sediment and prevent obstructions of catch basins (drainage inlets) and related pipe systems.  Inspect Catch Basin - Perform inspections of catch basins and associated systems. This includes a visual inspection of the drainage inlet and any clean water inserts. Follow-up video inspections may be required fordeeper inlets and/or suspected structural issue concerning the inlets.,1150000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
66,'LSR-0421-2780,Kirker Pass Road Northbound Truck Lanes,"This project will include: Pavement Improvement (New),Storm Drain and/or Culvert Rehab/Repair (Existing),Pavement Rehab/Repair (Existing),Paving and/or Striping Rehab/Repair (Existing Safety),Storm Drain/Culvert Installation (New),Paving and/or Striping Installation (New Safety)",21500000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
67,'LSR-0420-1572,Countywide Surface Treatment Program,"This project will include: Pavement Rehab/Repair (Existing),Paving and/or Striping Installation (New Safety),Paving and/or Striping Rehab/Repair (Existing Safety) | This item includes single and double chip seal, microsurface and rubber cape seal surface treatments on the the roadway pavement",4619598.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
68,'LSR-0420-1571,Pavement Repairs and Preparation - Countywide,"This project will include: Public Works Staffing,Procurement of Road Maintenance and Rehab Materials | This routine maintenance item includes pot hole patching, pavement fabric patching, pavement failure repair with back hoe, pull box paving, hand patching, crack sealing, leveling and pavement failure repair with a grinder.",3818591.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
69,'LSR-0420-1570,Traffic Safety Devices Maintenance - Countywide,"This project will include: Procurement of Road Maintenance and Rehab Materials,Public Works Staffing | This routine maintenance item includes replacement of pavement markers, walkway/hand rail maintenance, repair and replacement of guardrail, traffic sign refacing, traffic sign maitenance, traffic striping maintenance, pavement striping work, curb painting, inspection and maintenace of guardrails, work on roadside delineators, safety lighting maintenance and work on signals and flashers.",2321356.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
70,'LSR-0420-1569,Roadway Maintenance - Double Chip Seal Project,"This project will include: Procurement of Road Maintenance and Rehab Materials,Public Works Staffing | Double Chip Seal Project (2018) - This project will apply a double chip seal to various roads as a pavement preservation project in the unincorporated Contra Costa County. Work will also include surface preparation and pavement striping and markings. The work will involve providing a double application of polymerized emulsified asphalt, cover coat aggregate and a Fog Seal to an existing roadway surface.",1900000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
71,'LSR-0420-1568,Road Drainage Maintenance - Countywide,"This project will include: Public Works Staffing,Procurement of Road Maintenance and Rehab Materials | This routine maintenance item includes: ditch cleaning to remove debris and vegetation which may obstruct the passage of stormwater and cause flooding, cleaning the  catch basin to remove sediment and prevent obstructions of catch basins (drainage inlets) and related pipe systems and inspection of catch basins and associated systems.",1759457.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
72,'LSR-0420-1567,Structure Maintenance - Countywide,"This project will include: Procurement of Road Maintenance and Rehab Materials,Public Works Staffing | This routine maintenance item includes bridge repair, repair  or replacements of curbs and sidewalks, culverts, retaining walls, drainage structures, and right of way fencing.",1003825.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
73,'LSR-0420-1566,General Housekeeping - Countywide,"This project will include: Public Works Staffing,Procurement of Road Maintenance and Rehab Materials | This activity includes machine sweeping and tree trimming",966110.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
74,'LSR-0420-1565,Road Shoulder Maintenance - Countywide,"This project will include: Procurement of Road Maintenance and Rehab Materials,Public Works Staffing | This routine maintenance item inlcudes spot shoulder repair, major shoulder repair, reshaping shoulder, embankment grading, side material removal, and erosion control.",526291.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
75,'LSR-0420-1564,Jersey Island Road Bridge Repair,"This project will include: Bridge Structure Rehab/Repair (Existing) | The purpose of this project is to repair numerous deteriorating bridge elements including the blocks, piles, braces, and plates.",1605000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
76,'LSR-0420-1563,Sequoia Way Culvert and Roadway Repair,This project will include: Paving and/or Striping Rehab/Repair (Existing Safety),600000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
77,'LSR-0420-1562,Tara Hills Pedestrian Infrastructure Project,"This project will include: Document Preparation,Cost Estimating,Preliminary Design,Environmental Study/Documents | The project will construct 20+ ADA compliant curb ramps on the roads surrounding the Tara Hills Elementary School and North Campus Continuation High School. (RMRA funding = $450,000) (Carryover project from FY17/18)",950000.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
78,'LSR-0419-0718,Pavement Repairs and Preparation,"This project will include: Public Works Staffing | Activities include:  pot hole patching, pavement fabric patching, pavement fabric patching, pavement failure repair using backhoe, pull box paving, hand patching, crack sealing, leveling, grinder follow up paving, pavement failure repair with a grinder, pavement grinding with a backhoe and determining a pavement rating.",2712114.0,Contra Costa,|04|,|Completed|,Richmond,RCH,Contra Costa,CC,-122.383056,37.93875909
